excel_muni,excel_puesto,db_puesto_id,db_puesto_name,db_municipio_id,creemos,sn,mesas_historicas,confidence,method,status
MEDELLIN,SEC. ESC. LA ESPERANZA No 2,1,SEC. ESC. LA ESPERANZA No 2,1,222,46,38,100,exact,ok
MEDELLIN,INST.EDUC. LA CANDELARIA,2,INST.EDUC. LA CANDELARIA,1,418,98,49,100,exact,ok
MEDELLIN,IE MARIA DE LOS ANGELES CANO MARQUEZ,3,IE MARIA DE LOS ANGELES CANO MARQUEZ,1,345,60,26,100,exact,ok
MEDELLIN,SEC. ESC. MEDELLIN,4,SEC. ESC. MEDELLIN,1,445,92,27,100,exact,ok
MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,5,I.E.FE Y ALEGRIA GRANIZAL,1,179,23,15,100,exact,ok
MEDELLIN,IE LA AVANZADA,6,IE LA AVANZADA,1,26,7,7,100,exact,ok
MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,7,SEC. ESC. CARPINELO AMAPOLITA,1,44,12,7,100,exact,ok
MEDELLIN,IE ANTONIO DERKA,8,IE ANTONIO DERKA,1,100,21,19,100,exact,ok
MEDELLIN,SEC. ESC. NUEVO HORIZONTE 2,9,SEC. ESC. NUEVO HORIZONTE 2,1,195,28,36,100,exact,ok
MEDELLIN,I.E. NUEVO HORIZONTE - PAULO VI,10,I.E. NUEVO HORIZONTE - PAULO VI,1,261,72,32,100,exact,ok
MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,11,SEC. ESC. DIVINA PROVIDENCIA,1,332,56,38,100,exact,ok
MEDELLIN,SEC.ESC.AGRIPINA MONTES DEL VALLE,12,SEC.ESC.AGRIPINA MONTES DEL VALLE,1,329,79,24,100,exact,ok
MEDELLIN,I.E.FEDERICO CARRASQUILLA,13,I.E.FEDERICO CARRASQUILLA,1,144,56,16,100,exact,ok
MEDELLIN,I.E.GUADALUPE,14,I.E.GUADALUPE,1,265,41,27,100,exact,ok
MEDELLIN,I.E.  ASIA IGNACIANA,15,I.E. ASIA IGNACIANA,1,567,119,45,100,exact,ok
MEDELLIN,SEC.ESC.  MANUEL URIBE ANGEL,16,SEC.ESC. MANUEL URIBE ANGEL,1,654,132,44,100,exact,ok
MEDELLIN,SEC. ESC. FIDEL ANTONIO SALDARRIAGA,17,SEC. ESC. FIDEL ANTONIO SALDARRIAGA,1,454,62,27,100,exact,ok
MEDELLIN,SEC ESC LA FRONTERA,18,SEC ESC LA FRONTERA,1,109,24,11,100,exact,ok
MEDELLIN,I.E. BARRIO SANTA CRUZ,19,I.E. BARRIO SANTA CRUZ,1,529,123,34,100,exact,ok
MEDELLIN,SEC. ESC. ARZOBISPO GARCIA,20,SEC. ESC. ARZOBISPO GARCIA,1,775,100,30,100,exact,ok
MEDELLIN,I.E. REPUBLICA DE HONDURAS,21,I.E. REPUBLICA DE HONDURAS,1,587,107,28,100,exact,ok
MEDELLIN,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,22,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,1,678,128,49,100,exact,ok
MEDELLIN,IE LAS NIEVES,23,IE LAS NIEVES,1,565,112,34,100,exact,ok
